area,year,latitude,longitude,aqi_openweather_avg,pm2_5_avg,pm10_avg,no2_avg,o3_avg,co_avg
Bangalore North,2022,13.0222347,77.5671832,2.67,26.97,31.36,19.51,45.67,625.3
Bangalore North,2023,13.0222347,77.5671832,2.22,23.57,27.92,18.23,47.04,591.49
Bangalore North,2024,13.0222347,77.5671832,2.21,22.74,25.86,15.89,49.45,596.5
Bangalore North,2025,13.0222347,77.5671832,2.1,21.43,26.53,10.02,53.59,327.1
Bangalore North,2026,13.0222347,77.5671832,3.11,39.04,46.66,4.75,86.43,313.87
Bangalore South,2020,12.9287596,77.6287122,3.63,42.83,47.78,16.51,59.0,566.13
Bangalore South,2021,12.9287596,77.6287122,2.51,24.37,28.53,18.02,41.71,606.76
Bangalore South,2022,12.9287596,77.6287122,2.67,26.97,31.36,19.51,45.67,625.3
Bangalore South,2023,12.9287596,77.6287122,2.22,23.57,27.92,18.23,47.04,591.49
Bangalore South,2024,12.9287596,77.6287122,2.21,22.74,25.86,15.89,49.45,596.5
Bangalore South,2025,12.9287596,77.6287122,2.1,21.43,26.53,10.02,53.59,327.1
Bangalore South,2026,12.9287596,77.6287122,3.18,42.23,50.97,6.06,82.52,332.38
Basavanapura,2020,13.0093485,77.7108379,3.54,41.03,45.9,6.32,69.59,404.87
Basavanapura,2021,13.0093485,77.7108379,2.41,22.46,26.53,11.94,48.93,447.98
Basavanapura,2022,13.0093485,77.7108379,2.55,24.9,29.17,12.02,54.31,452.68
Basavanapura,2023,13.0093485,77.7108379,2.2,22.47,26.86,12.07,54.33,456.64
Basavanapura,2024,13.0093485,77.7108379,2.13,20.62,23.69,8.62,55.88,437.55
Basavanapura,2025,13.0093485,77.7108379,2.07,20.62,25.4,7.0,54.94,282.11
Basavanapura,2026,13.0093485,77.7108379,3.19,41.14,49.03,4.43,87.4,304.89
Basaveshwara Nagar,2020,12.9932236,77.5391579,3.63,42.83,47.78,16.51,59.0,566.13
Basaveshwara Nagar,2021,12.9932236,77.5391579,2.51,24.37,28.53,18.02,41.71,606.76
Basaveshwara Nagar,2022,12.9932236,77.5391579,2.67,26.97,31.36,19.51,45.67,625.3
Basaveshwara Nagar,2023,12.9932236,77.5391579,2.22,23.57,27.92,18.23,47.04,591.49
Basaveshwara Nagar,2024,12.9932236,77.5391579,2.21,22.74,25.86,15.89,49.45,596.5
Basaveshwara Nagar,2025,12.9932236,77.5391579,2.1,21.43,26.53,10.02,53.59,327.1
Basaveshwara Nagar,2026,12.9932236,77.5391579,3.1,40.65,49.24,6.17,81.26,335.27
Bellanduru,2020,12.9292114,77.6770417,3.63,42.83,47.78,16.51,59.0,566.13
Bellanduru,2021,12.9292114,77.6770417,2.51,24.37,28.53,18.02,41.71,606.76
Bellanduru,2022,12.9292114,77.6770417,2.67,26.97,31.36,19.51,45.67,625.3
Bellanduru,2023,12.9292114,77.6770417,2.22,23.57,27.92,18.23,47.04,591.49
Bellanduru,2024,12.9292114,77.6770417,2.21,22.74,25.86,15.89,49.45,596.5
Bellanduru,2025,12.9292114,77.6770417,2.1,21.43,26.53,10.02,53.59,327.1
Bellanduru,2026,12.9292114,77.6770417,3.18,42.23,50.97,6.06,82.52,332.38
Bengaluru Urban,2020,13.0222347,77.5671832,3.63,42.83,47.78,16.51,59.0,566.13
Bengaluru Urban,2021,13.0222347,77.5671832,2.51,24.37,28.53,18.02,41.71,606.76
Bengaluru Urban,2022,13.0222347,77.5671832,2.67,26.97,31.36,19.51,45.67,625.3
Bengaluru Urban,2023,13.0222347,77.5671832,2.22,23.57,27.92,18.23,47.04,591.49
Bengaluru Urban,2024,13.0222347,77.5671832,2.21,22.74,25.86,15.89,49.45,596.5
Bengaluru Urban,2025,13.0222347,77.5671832,2.1,21.43,26.53,10.02,53.59,327.1
Bengaluru Urban,2026,13.0222347,77.5671832,3.11,39.04,46.66,4.75,86.43,313.87
Benniganahalli,2020,12.9949194,77.6626028,3.63,42.83,47.78,16.51,59.0,566.13
Benniganahalli,2021,12.9949194,77.6626028,2.51,24.37,28.53,18.02,41.71,606.76
Benniganahalli,2022,12.9949194,77.6626028,2.67,26.97,31.36,19.51,45.67,625.3
Benniganahalli,2023,12.9949194,77.6626028,2.22,23.57,27.92,18.23,47.04,591.49
Benniganahalli,2024,12.9949194,77.6626028,2.21,22.74,25.86,15.89,49.45,596.5
Benniganahalli,2025,12.9949194,77.6626028,2.1,21.43,26.53,10.02,53.59,327.1
Benniganahalli,2026,12.9949194,77.6626028,3.18,42.23,50.97,6.06,82.52,332.38
Bharathi Nagar,2020,12.9898432,77.6103341,3.63,42.83,47.78,16.51,59.0,566.13
Bharathi Nagar,2021,12.9898432,77.6103341,2.51,24.37,28.53,18.02,41.71,606.76
Bharathi Nagar,2022,12.9898432,77.6103341,2.67,26.97,31.36,19.51,45.67,625.3
Bharathi Nagar,2023,12.9898432,77.6103341,2.22,23.57,27.92,18.23,47.04,591.49
Bharathi Nagar,2024,12.9898432,77.6103341,2.21,22.74,25.86,15.89,49.45,596.5
Bharathi Nagar,2025,12.9898432,77.6103341,2.1,21.43,26.53,10.02,53.59,327.1
Bharathi Nagar,2026,12.9898432,77.6103341,3.18,42.23,50.97,6.06,82.52,332.38
Bommanahalli,2020,12.9034582,77.6230028,3.63,42.83,47.78,16.51,59.0,566.13
Bommanahalli,2021,12.9034582,77.6230028,2.51,24.37,28.53,18.02,41.71,606.76
Bommanahalli,2022,12.9034582,77.6230028,2.67,26.97,31.36,19.51,45.67,625.3
Bommanahalli,2023,12.9034582,77.6230028,2.22,23.57,27.92,18.23,47.04,591.49
Bommanahalli,2024,12.9034582,77.6230028,2.21,22.74,25.86,15.89,49.45,596.5
Bommanahalli,2025,12.9034582,77.6230028,2.1,21.43,26.53,10.02,53.59,327.1
Bommanahalli,2026,12.9034582,77.6230028,3.18,42.23,50.97,6.06,82.52,332.38
Byrasandra,2020,12.9295931,77.5811810,3.63,42.83,47.78,16.51,59.0,566.13
Byrasandra,2021,12.9295931,77.5811810,2.51,24.37,28.53,18.02,41.71,606.76
Byrasandra,2022,12.9295931,77.5811810,2.67,26.97,31.36,19.51,45.67,625.3
Byrasandra,2023,12.9295931,77.5811810,2.22,23.57,27.92,18.23,47.04,591.49
Byrasandra,2024,12.9295931,77.5811810,2.21,22.74,25.86,15.89,49.45,596.5
